conversation_id_str,full_text,category,user_id_str,username,created_at,tokenized,stemmed
1794957243110299904, halo warga college disini tahu program msib studi independen mitra celerates ga mau nanya btw sender niatan ambil kelas data analyst yaaa makasih,pengalaman keseluruhan,1.0460840087428e+18,collegemenfess,Mon May 27 05:02:10 +0000 2024,"['halo', 'warga', 'college', 'disini', 'tahu', 'program', 'msib', 'studi', 'independen', 'mitra', 'celerates', 'ga', 'mau', 'nanya', 'btw', 'sender', 'niatan', 'ambil', 'kelas', 'data', 'analyst', 'yaaa', 'makasih']",halo warga college sini tahu program msib studi independen mitra celerates ga mau nanya btw sender niat ambil kelas data analyst yaaa makasih
1794945805918320128,media universitas teknokrat indonesia menjadi pusat perhatian pertemuan evaluasi bulanan program umkm merdeka magang studi independen bersertifikat msib diinisiasi kementerian pendidikan kebudayaan riset teknologi kemendikbud,pengalaman keseluruhan,1.35827706061187e+18,gatsu90rentcar,Mon May 27 04:16:43 +0000 2024,"['media', 'universitas', 'teknokrat', 'indonesia', 'menjadi', 'pusat', 'perhatian', 'pertemuan', 'evaluasi', 'bulanan', 'program', 'umkm', 'merdeka', 'magang', 'studi', 'independen', 'bersertifikat', 'msib', 'diinisiasi', 'kementerian', 'pendidikan', 'kebudayaan', 'riset', 'teknologi', 'kemendikbud']",media universitas teknokrat indonesia jadi pusat perhati temu evaluasi bulan program umkm merdeka magang studi independen sertifikat msib inisiasi menteri didik budaya riset teknologi kemendikbud
1794932780578789888, sender pengen studi independen kirakira devisi apa relate sama jurusan hukum thanks,pengalaman keseluruhan,1.0460840087428e+18,collegemenfess,Mon May 27 03:24:57 +0000 2024,"['sender', 'pengen', 'studi', 'independen', 'kirakira', 'devisi', 'apa', 'relate', 'sama', 'jurusan', 'hukum', 'thanks']",sender ken studi independen kirakira devisi apa relate sama jurus hukum thanks
1794923329205449984,mau ikut studi independen gue gak paham uiux,pengalaman keseluruhan,1.35858479555969e+18,starryodrey,Mon May 27 02:47:24 +0000 2024,"['mau', 'ikut', 'studi', 'independen', 'gue', 'gak', 'paham', 'uiux']",mau ikut studi independen gue gak paham uiux
1794865931187089920,ayo ikuti program kampus merdeka seru bermanfaat pt berdikari bekerja sama kementerian pendidikan kebudayaan riset teknologi mengajak mahasiswa indonesia bergabung program magang studi independen bersertifikat msib,pengalaman keseluruhan,607941256.0,KampusUpdate,Sun May 26 22:59:19 +0000 2024,"['ayo', 'ikuti', 'program', 'kampus', 'merdeka', 'seru', 'bermanfaat', 'pt', 'berdikari', 'bekerja', 'sama', 'kementerian', 'pendidikan', 'kebudayaan', 'riset', 'teknologi', 'mengajak', 'mahasiswa', 'indonesia', 'bergabung', 'program', 'magang', 'studi', 'independen', 'bersertifikat', 'msib']",ayo ikut program kampus merdeka seru manfaat pt berdikari kerja sama menteri didik budaya riset teknologi ajak mahasiswa indonesia gabung program magang studi independen sertifikat msib
1794797312012910080,adaa dong kalau studi independen kan jatohnya kayak kelas gitu banyak bidang it,pengalaman keseluruhan,1.53221250738055e+18,greebeltape,Sun May 26 19:38:49 +0000 2024,"['adaa', 'dong', 'kalau', 'studi', 'independen', 'kan', 'jatohnya', 'kayak', 'kelas', 'gitu', 'banyak', 'bidang', 'it']",adaa dong kalau studi independen kan jatohnya kayak kelas gitu banyak bidang it
1794797312012910080,seangkatan ga sih kayaknya wkwk jangan panggil kak atuh msib kan kepanjangannya magang studi independen bersertifikat jadi program gitu buat studi independen si ga anak saintek doang kok soshum banyak,pengalaman keseluruhan,1.53221250738055e+18,greebeltape,Sun May 26 19:30:53 +0000 2024,"['seangkatan', 'ga', 'sih', 'kayaknya', 'wkwk', 'jangan', 'panggil', 'kak', 'atuh', 'msib', 'kan', 'kepanjangannya', 'magang', 'studi', 'independen', 'bersertifikat', 'jadi', 'program', 'gitu', 'buat', 'studi', 'independen', 'si', 'ga', 'anak', 'saintek', 'doang', 'kok', 'soshum', 'banyak']",angkat ga sih kayak wkwk jangan panggil kak atuh msib kan panjang magang studi independen sertifikat jadi program gitu buat studi independen si ga anak saintek doang kok soshum banyak
1794797312012910080,amin kak semoga aja dri kampus gw cpet responnya wkwkwk btw bru tau gw studi independen bwt anak ipa,pengalaman keseluruhan,1.48209874154098e+18,shadeofvalteil,Sun May 26 19:20:40 +0000 2024,"['amin', 'kak', 'semoga', 'aja', 'dri', 'kampus', 'gw', 'cpet', 'responnya', 'wkwkwk', 'btw', 'bru', 'tau', 'gw', 'studi', 'independen', 'bwt', 'anak', 'ipa']",amin kak moga aja dri kampus gw cpet responnya wkwkwk btw bru tau gw studi independen bwt anak ipa
1794797312012910080,kan tuh magang sama studi independen kalau ga salah studi independen diperpanjang berapa harian gitu semoga urusan administrasi kampusnya cepet beres yaa emang kadang suka lama situ,pengalaman keseluruhan,1.53221250738055e+18,greebeltape,Sun May 26 18:53:56 +0000 2024,"['kan', 'tuh', 'magang', 'sama', 'studi', 'independen', 'kalau', 'ga', 'salah', 'studi', 'independen', 'diperpanjang', 'berapa', 'harian', 'gitu', 'semoga', 'urusan', 'administrasi', 'kampusnya', 'cepet', 'beres', 'yaa', 'emang', 'kadang', 'suka', 'lama', 'situ']",kan tuh magang sama studi independen kalau ga salah studi independen panjang berapa hari gitu moga urus administrasi kampus cepet beres yaa emang kadang suka lama situ
1794748817151300096,betullll wkt tau pas belajar statistik apa studi independen yaa lupa deh,pengalaman keseluruhan,1.34938250174405e+18,slwpy,Sun May 26 15:13:57 +0000 2024,"['betullll', 'wkt', 'tau', 'pas', 'belajar', 'statistik', 'apa', 'studi', 'independen', 'yaa', 'lupa', 'deh']",betullll wkt tau pas ajar statistik apa studi independen yaa lupa deh
